Name	ScopeViewControl	
File	F:\_LTR700\TempMeas\Scope YT Project.svd	
StartRecord	131572023434270000	08 December 2017	12:25:43
EndRecord	131572026024670000	08 December 2017	12:30:02


Name	T_Ref	Name	T_Cels	
NetId	172.18.136.182.1.1	NetId	172.18.136.182.1.1	
Port	851	Port	851	
SampleTime[ms]	10	SampleTime[ms]	10	
SymbolBased	True	SymbolBased	True	
SymbolName	Temperatures.T_Ref	SymbolName	Temperatures.T_Act	
SymbolComment		SymbolComment		
IndexGroup	16448	IndexGroup	16448	
IndexOffset	513864	IndexOffset	513868	
Data-Type	REAL32	Data-Type	REAL32	
VariableSize	4	VariableSize	4	
Offset	0	Offset	0	
ScaleFactor	1	ScaleFactor	1	
BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff	

0	50	0	32.5289345	
10	50	10	32.5	
20	50	20	32.5	
30	50	30	32.5	
40	50	40	32.5	
50	50	50	32.5	
60	50	60	32.5	
70	50	70	32.5	
80	50	80	32.5	
90	50	90	32.5289345	
100	50	100	32.5	
110	50	110	32.5	
120	50	120	32.5289345	
130	50	130	32.5289345	
140	50	140	32.5	
150	50	150	32.5	
160	50	160	32.5	
170	50	170	32.5	
180	50	180	32.5	
190	50	190	32.5	
200	50	200	32.5289345	
210	50	210	32.5289345	
220	50	220	32.5289345	
230	50	230	32.5289345	
240	50	240	32.5	
250	50	250	32.5	
260	50	260	32.5289345	
270	50	270	32.5	
280	50	280	32.5289345	
290	50	290	32.5289345	
300	50	300	32.5289345	
310	50	310	32.5289345	
320	50	320	32.5289345	
330	50	330	32.5289345	
340	50	340	32.5289345	
350	50	350	32.5289345	
360	50	360	32.5289345	
370	50	370	32.5289345	
380	50	380	32.5289345	
390	50	390	32.5289345	
400	50	400	32.5289345	
410	50	410	32.5289345	
420	50	420	32.5289345	
430	50	430	32.5289345	
440	50	440	32.5289345	
450	50	450	32.5289345	
460	50	460	32.5289345	
470	50	470	32.5289345	
480	50	480	32.55787	
490	50	490	32.55787	
500	50	500	32.55787	
510	50	510	32.55787	
520	50	520	32.5289345	
530	50	530	32.55787	
540	50	540	32.55787	
550	50	550	32.55787	
560	50	560	32.55787	
570	50	570	32.55787	
580	50	580	32.55787	
